eeschema (2011-07-08 BZR 3044)-stable  >> Creation date: Thu 26 Apr 2012 04:23:35 PM EEST

#Cmp ( order = Reference ) (with SubCmp)
| C1         10p         ; c_0603      
| C2         10p         ; c_0603      
| C3         100n        ; c_0603      
| C4         100n        ; c_0603      
| C5         4.7u        ; c_0805      
| C6         100n        ; c_0603      
| C7         100n        ; c_0603      
| C8         330n        ; c_0603      
| C9         100n        ; c_0603      
| C10        22u         ; c_0805      
| C11        100n        ; c_0603      
| C12        100n        ; c_0603      
| C13        100n        ; c_0603      
| C14        100n        ; c_0603      
| C15        100n        ; c_0603      
| C16        100n        ; c_0603      
| C17        100n        ; c_0603      
| C18        22p         ; c_0603      
| C19        1.5p        ; c_0603      
| J1         USB_B       ; USB_B       
| J2         J3PIN       ; pin_strip_3 
| J3         TEST_PAD    ; testpoint_2mm5
| J4         TEST_PAD    ; testpoint_2mm5
| R1         RES_0603    ;             
| R2         RES_0603    ;             
| R3         RES_0603    ;             
| R4         RES_0603    ;             
| R5         RES_0603    ;             
| R6         RES_0603    ;             
| R7         1.8K        ; r_0603      
| R8         10k         ; r_0603      
| R9         RES_0603    ; r_0603      
| R10        1.8K        ; r_0603      
| R11        100         ; r_0603      
| R12        RES_0603    ; r_0603      
| R13        RES_0603    ; r_0603      
| R14        RES_0603    ; r_0603      
| R15        RES_0603    ; r_0603      
| R16        RES_0603    ; r_0603      
| R17        RES_0603    ; r_0603      
| R18        1K          ; r_0603      
| R19        1K          ; r_0603      
| R20        RES_0603    ; r_0603      
| R21        RES_0603    ; r_0603      
| R22        RES_0603    ; r_0603      
| R23        RES_0603    ; r_0603      
| R24        RES_0603    ; r_0603      
| R25        RES_0603    ; r_0603      
| R26        RES_0603    ; r_0603      
| R27        RES_0603    ; r_0603      
| R28        1K          ;             
| R29        1K          ;             
| R30        RES_0603    ;             
| R31        RES_0603    ; r_0603      
| R32        RES_0603    ; r_0603      
| R33        RES_0603    ; r_0603      
| R34        RES_0603    ; r_0603      
