eeschema (2012-01-19 BZR 3256)-stable  >> Creation date: Fri 20 Jul 2012 05:46:03 PM EEST

#Cmp ( order = Reference )
| C1         330n        ; c_0603      
| C2         100n        ; c_0603      
| C3         100n        ; c_0603      
| C4         100n        ; c_0603      
| C5         100n        ; c_0603      
| C6         100n        ; c_0603      
| C7         100n        ; c_0603      
| C8         100n        ; c_0603      
| C9         100n        ; c_0603      
| C10        100n        ; c_0603      
| C11        22u         ; c_0805      
| C12        100n        ; c_0603      
| C13        4.7u        ; c_0805      
| C14        100n        ; c_0603      
| C15        100n        ; c_0603      
| C16        100n        ; c_0603      
| C17        22p         ; c_0603      
| C18        1.5p        ; c_0603      
| C19        100n        ; c_0603      
| J3         PWR_ON/OFF  ; JUMPER2PINS 
| J4         J2PIN       ; JUMPER2PINS 
| J5         J2PIN       ; JUMPER2PINS 
| R1         2.7K        ; r_0603      
| R2         100K        ; r_0603      
| R3         1M          ; r_0603      
| R4         51          ; r_0603      
| R5         100K        ; r_0603      
| R6         0           ; r_0603      
| R7         0           ; r_0603      
| R8         2.7K        ; r_0603      
| R9         2.7K        ; r_0603      
| R10        510         ; r_0603      
| R11        510         ; r_0603      
| R12        510         ; r_0603      
| R13        2.7K        ; r_0603      
| R14        2.7K        ; r_0603      
| R15        510         ; r_0603      
| R16        510         ; r_0603      
| U1         LED_RED     ; KP-2012ZGC  
| U2         1N4007      ; melf        
| U3         Q16.000     ; crystal_xg6x3p5
| U4         BA033CC0WFP ; BA033CCOWFP 
| U5         BUTTON      ; PCB_PUSH    
| U6         ATMEGA128RFA1; atmega128rfa1
| U7         FT232RL     ; SSOP28      
| U8         2450FB15L0001; 2450FB15L0001
| U9         LED_GREEN   ; KP-2012ZGC  
| U10        LED_GREEN   ; KP-2012ZGC  
| U11        LED_GREEN   ; KP-2012ZGC  
| U12        LED_GREEN   ; KP-2012ZGC  
| U13        BAT54S      ; SOT23EBC    
| U14        BAT54S      ; SOT23EBC    
| X1         RP-SMA      ; rp-sma      
| XT1        USB_B       ; USB_B       
| XT2        PN2X10      ; PN2X10      
| XT3        PN2X10      ; PN2X10      
| XT4        FTDI_CONN   ; BH16R       
| XT5        PN2X3       ; PN2X3       
#End Cmp

#Cmp ( order = Value )
| 0            R6        ; r_0603      
| 0            R7        ; r_0603      
| 1.5p         C18       ; c_0603      
| 100K         R2        ; r_0603      
| 100K         R5        ; r_0603      
| 100n         C2        ; c_0603      
| 100n         C3        ; c_0603      
| 100n         C4        ; c_0603      
| 100n         C5        ; c_0603      
| 100n         C6        ; c_0603      
| 100n         C7        ; c_0603      
| 100n         C8        ; c_0603      
| 100n         C9        ; c_0603      
| 100n         C10       ; c_0603      
| 100n         C12       ; c_0603      
| 100n         C14       ; c_0603      
| 100n         C15       ; c_0603      
| 100n         C16       ; c_0603      
| 100n         C19       ; c_0603      
| 1M           R3        ; r_0603      
| 1N4007       U2        ; melf        
| 2.7K         R1        ; r_0603      
| 2.7K         R8        ; r_0603      
| 2.7K         R9        ; r_0603      
| 2.7K         R13       ; r_0603      
| 2.7K         R14       ; r_0603      
| 22p          C17       ; c_0603      
| 22u          C11       ; c_0805      
| 2450FB15L0001 U8        ; 2450FB15L0001
| 330n         C1        ; c_0603      
| 4.7u         C13       ; c_0805      
| 51           R4        ; r_0603      
| 510          R10       ; r_0603      
| 510          R11       ; r_0603      
| 510          R12       ; r_0603      
| 510          R15       ; r_0603      
| 510          R16       ; r_0603      
| ATMEGA128RFA1 U6        ; atmega128rfa1
| BA033CC0WFP  U4        ; BA033CCOWFP 
| BAT54S       U13       ; SOT23EBC    
| BAT54S       U14       ; SOT23EBC    
| BUTTON       U5        ; PCB_PUSH    
| FT232RL      U7        ; SSOP28      
| FTDI_CONN    XT4       ; BH16R       
| J2PIN        J4        ; JUMPER2PINS 
| J2PIN        J5        ; JUMPER2PINS 
| LED_GREEN    U9        ; KP-2012ZGC  
| LED_GREEN    U10       ; KP-2012ZGC  
| LED_GREEN    U11       ; KP-2012ZGC  
| LED_GREEN    U12       ; KP-2012ZGC  
| LED_RED      U1        ; KP-2012ZGC  
| PN2X10       XT2       ; PN2X10      
| PN2X10       XT3       ; PN2X10      
| PN2X3        XT5       ; PN2X3       
| PWR_ON/OFF   J3        ; JUMPER2PINS 
| Q16.000      U3        ; crystal_xg6x3p5
| RP-SMA       X1        ; rp-sma      
| USB_B        XT1       ; USB_B       
#End Cmp

#End List
